,TF,Bigram TF,No. of Stop_words,Out of Context,"Arts, Culture, Entertainment, Sports",Conspiracy,Business and Industrial,"economy, business and finance",Religion and belief,"Law, Government and Politics",Education,Technology and Computing,Science,Sixltr,conj,interrog,number,negemo,social,certain,percept,focuspast,focuspresent,time,ORG,PERSON,GPE
0,8.0,2,0.476923076923077,442.0,0.0,0.0,0.0,0.0,0.0,0.63565,0.0,0.0,0.0,19.01,4.13,1.65,0.83,0.0,17.36,1.65,5.79,4.13,9.09,4.13,1.0,3.0,1.0
1,12.0,7,0.4051724137931034,518.0,0.0,0.0,0.0,0.5584,0.0,0.0,0.0,0.0,0.0,13.79,7.76,0.0,4.31,0.0,9.48,0.86,3.45,3.45,13.79,7.76,1.0,3.0,2.0
2,7.0,0,0.4,387.0,0.6385,0.0,0.0,0.5544,0.0,0.0,0.0,0.6317375000000001,0.4508,18.18,5.45,0.91,5.45,0.0,1.82,1.82,3.64,5.45,4.55,6.36,1.0,2.0,1.0
3,2.0,0,0.3157894736842105,136.0,0.21036,0.22554,0.0,0.0,0.107,0.11491595238095235,0.0,0.17800708333333334,0.1065,26.79,1.79,0.0,7.14,1.79,8.93,0.0,1.79,1.79,3.57,3.57,1.0,1.0,0.0
4,1.0,0,0.3818181818181817,126.0,0.45299999999999996,0.0,0.0,0.0,0.0,0.4883333333333333,0.0,0.4519,0.0,20.41,8.16,0.0,0.0,6.12,12.24,2.04,4.08,2.04,8.16,2.04,2.0,2.0,0.0
5,1.0,0,0.40384615384615385,111.0,0.5258,0.0,0.0,0.0,0.5428999999999999,0.5071,0.0,0.5258,0.0,15.56,2.22,4.44,2.22,0.0,6.67,2.22,4.44,8.89,4.44,0.0,3.0,0.0,0.0
6,0.0,0,0.35714285714285715,6.0,0.4508,0.0,0.0,0.0,0.0,0.0,0.0,0.4508,0.0,16.67,16.67,0.0,0.0,0.0,8.33,16.67,0.0,8.33,0.0,8.33,0.0,1.0,0.0
7,0.0,0,0.4642857142857143,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,0.0,0.0,4.0,8.0,0.0,0.0,4.0,8.0,4.0,1.0,0.0,0.0
8,0.0,0,0.3157894736842105,22.0,0.4508,0.0,0.0,0.0,0.0,0.0,0.0,0.4508,0.0,11.76,5.88,0.0,11.76,5.88,5.88,0.0,0.0,5.88,0.0,11.76,1.0,1.0,0.0
9,5.0,1,0.4881889763779528,321.0,0.471,0.0,0.0,0.0,0.0,0.0,0.0,0.471,0.4508,16.82,4.67,0.93,0.0,0.0,15.89,1.87,0.93,6.54,10.28,5.61,1.0,1.0,0.0
10,2.0,0,0.3692307692307693,121.0,0.51345,0.0,0.0,0.0,0.0,0.0,0.0,0.544775,0.0,21.82,3.64,0.0,0.0,0.0,18.18,0.0,3.64,9.09,1.82,3.64,2.0,1.0,0.0
11,2.0,0,0.4578313253012048,221.0,0.0,0.0,0.0,0.0,0.6692,0.4402,0.0,0.0,0.0,21.92,8.22,1.37,0.0,0.0,9.59,1.37,1.37,6.85,4.11,6.85,3.0,1.0,0.0
12,2.0,0,0.4680851063829787,54.0,0.0,0.0,0.0,0.5435,0.0,0.0,0.0,0.5071,0.4508,23.26,4.65,0.0,0.0,0.0,4.65,0.0,2.33,6.98,4.65,0.0,2.0,0.0,0.0
13,0.0,0,0.2692307692307692,202.0,0.0,0.0,0.0,0.0,0.0,0.4402,0.0,0.0,0.0,27.91,4.65,0.0,4.65,0.0,4.65,0.0,0.0,6.98,0.0,6.98,2.0,2.0,1.0
14,0.0,0,0.40425531914893614,74.0,0.0,0.0,0.5186666666666666,0.5017,0.0,0.0,0.0,0.0,0.4508,24.39,4.88,0.0,0.0,2.44,7.32,0.0,4.88,7.32,2.44,7.32,1.0,0.0,0.0
15,6.0,1,0.39436619718309857,189.0,0.0,0.0,0.0,0.5095000000000001,0.0,0.0,0.0,0.5095000000000001,0.4508,17.19,6.25,1.56,1.56,0.0,12.5,0.0,6.25,10.94,6.25,4.69,1.0,0.0,0.0
16,0.0,0,0.29411764705882354,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,6.25,0.0,6.25,0.0,6.25,12.5,6.25,6.25,1.0,2.0,0.0
17,0.0,0,0.35,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,12.5,0.0,0.0,0.0,0.0,6.25,0.0,6.25,0.0,0.0,0.0
18,0.0,0,0.4,18.0,0.0,0.0,0.0,0.4646,0.4759,0.0,0.0,0.0,0.0,13.04,0.0,0.0,4.35,0.0,4.35,0.0,4.35,8.7,4.35,8.7,1.0,0.0,0.0
19,2.0,0,0.4444444444444444,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.43,2.86,0.0,11.43,0.0,11.43,0.0,0.0,5.71,2.86,5.71,1.0,1.0,0.0
20,0.0,0,0.3703703703703704,35.0,0.4508,0.0,0.0,0.5499499999999999,0.0,0.0,0.0,0.5169,0.4508,28.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,8.0,8.0,1.0,0.0,0.0
21,0.0,0,0.32142857142857145,38.0,0.4508,0.0,0.0,0.0,0.0,0.0,0.0,0.4508,0.0,22.22,3.7,0.0,3.7,0.0,3.7,0.0,3.7,7.41,0.0,7.41,2.0,0.0,0.0
22,0.0,0,0.4,2.0,0.14970999999999998,0.0,0.0,0.0,0.10466,0.0,0.0,0.150925,0.0,33.33,0.0,0.0,0.0,0.0,11.11,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0
23,1.0,0,0.29411764705882354,4.0,0.08532000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.09011,0.0,38.46,0.0,0.0,7.69,0.0,0.0,0.0,0.0,7.69,0.0,7.69,1.0,0.0,0.0
24,0.0,0,0.2,9.0,0.0,0.0,0.0,0.5071,0.0,0.0,0.0,0.5071,0.4508,45.45,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25,0.0,0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,0.0,12.5,0.0,0.0,0.0,0.0
26,0.0,0,0.25,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.439,13.33,0.0,6.67,6.67,0.0,6.67,0.0,0.0,6.67,0.0,0.0,2.0,0.0,0.0
27,0.0,0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0,0.3636363636363637,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0,0.2307692307692308,20.0,0.0,0.0,0.0,0.7235,0.0,0.0,0.0,0.7235,0.0,16.67,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,33.33,2.0,0.0,0.0
30,2.0,0,0.4871794871794872,230.0,0.0,0.0,0.0,0.7542500000000001,0.0,0.0,0.0,0.0,0.0,18.84,8.7,2.9,2.9,0.0,4.35,1.45,0.0,8.7,8.7,0.0,3.0,1.0,1.0
31,10.0,0,0.3738738738738739,2479.0,0.0,0.0,0.0,0.4569,0.0,0.0,0.0,0.0,0.0,24.61,4.71,0.52,5.76,0.52,11.52,1.57,1.57,7.33,7.33,4.19,2.0,1.0,0.0
32,0.0,0,0.3043478260869565,28.0,0.09062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.83,8.33,0.0,4.17,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33,6.0,1,0.4910714285714286,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.27,5.1,1.02,0.0,1.02,14.29,4.08,3.06,9.18,4.08,1.02,1.0,1.0,0.0
34,0.0,0,0.3684210526315789,28.0,0.4508,0.0,0.0,0.0,0.0,0.0,0.0,0.4508,0.0,17.65,5.88,0.0,5.88,0.0,11.76,5.88,0.0,5.88,5.88,5.88,0.0,0.0,0.0
35,0.0,0,0.2857142857142857,26.0,0.4794,0.0,0.0,0.0,0.0,0.0,0.0,0.4794,0.4508,25.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,10.0,0.0,5.0,1.0,0.0,0.0
36,0.0,0,0.3870967741935484,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.79,10.34,0.0,10.34,0.0,6.9,0.0,0.0,6.9,0.0,20.69,1.0,0.0,0.0
37,1.0,0,0.4520547945205479,212.0,0.0,0.0,0.0,0.5534,0.6984,0.4820777777777778,0.0,0.0,0.0,20.29,7.25,2.9,1.45,1.45,17.39,0.0,0.0,5.8,4.35,4.35,2.0,1.0,3.0
38,5.0,0,0.4230769230769231,319.0,0.0,0.0,0.0,0.0,0.0,0.4462,0.0,0.0,0.0,15.22,5.43,1.09,3.26,2.17,14.13,0.0,2.17,3.26,4.35,5.43,3.0,0.0,1.0
39,12.0,1,0.3944954128440367,2313.0,0.0,0.0,0.0,0.0,0.0,0.4821166666666666,0.0,0.0,0.0,24.49,6.63,1.02,0.0,0.0,14.8,1.02,4.08,4.08,6.12,3.57,4.0,3.0,3.0
40,5.0,0,0.3305785123966942,776.0,0.0,0.0,0.0,0.0,0.0,0.50075,0.0,0.0,0.0,20.0,6.0,0.0,3.0,1.0,6.0,2.0,5.0,8.0,7.0,2.0,3.0,1.0,1.0
41,5.0,1,0.373134328358209,284.0,0.6745,0.0,0.0,0.4899333333333333,0.5371,0.4934,0.0,0.7230800000000001,0.4508,33.33,9.52,0.0,1.59,0.0,4.76,0.0,4.76,3.17,3.17,0.0,2.0,0.0,1.0
42,1.0,0,0.35714285714285715,219.0,0.0,0.0,0.0,0.5665,0.0,0.5164833333333334,0.0,0.0,0.0,16.92,4.62,0.0,3.08,0.0,6.15,0.0,3.08,4.62,3.08,3.08,4.0,2.0,1.0
43,2.0,0,0.2978723404255319,127.0,0.0,0.0,0.0,0.0,0.0,0.48605,0.0,0.0,0.0,30.95,7.14,0.0,2.38,0.0,9.52,2.38,2.38,2.38,4.76,0.0,1.0,2.0,0.0
44,1.0,0,0.4328358208955224,193.0,0.4414,0.0,0.0,0.0,0.0,0.0,0.0,0.4414,0.0,17.46,4.76,0.0,3.17,1.59,7.94,0.0,6.35,4.76,9.52,7.94,2.0,1.0,0.0
45,1.0,0,0.39130434782608703,67.0,0.0,0.0,0.0,0.0,0.0,0.4708222222222222,0.0,0.0,0.0,15.0,5.0,0.0,7.5,7.5,5.0,0.0,2.5,12.5,0.0,7.5,1.0,2.0,1.0
46,0.0,0,0.42857142857142855,13.0,0.1427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,20.0,0.0,0.0,12.0,12.0,4.0,2.0,0.0,0.0
47,3.0,0,0.2777777777777778,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.67,2.22,0.0,6.67,0.0,13.33,2.22,0.0,4.44,4.44,6.67,3.0,2.0,1.0
48,5.0,0,0.40869565217391307,373.0,0.4802,0.0,0.0,0.4848,0.0,0.0,0.0,0.478925,0.4508,23.08,1.92,0.96,3.85,0.0,4.81,0.0,4.81,6.73,6.73,4.81,3.0,0.0,1.0
49,5.0,1,0.4605263157894737,214.0,0.0,0.0,0.0,0.4508,0.0,0.0,0.0,0.0,0.0,18.84,4.35,4.35,1.45,0.0,18.84,1.45,5.8,17.39,4.35,2.9,4.0,2.0,0.0
50,0.0,0,0.2571428571428571,74.0,0.4508,0.0,0.0,0.0,0.0,0.0,0.0,0.4508,0.0,37.93,6.9,0.0,3.45,3.45,3.45,0.0,3.45,3.45,3.45,0.0,0.0,0.0,0.0
51,4.0,0,0.404040404040404,441.0,0.0,0.0,0.0,0.0,0.0,0.5453749999999999,0.0,0.0,0.4508,22.09,6.98,0.0,0.0,0.0,9.3,0.0,1.16,4.65,4.65,8.14,3.0,2.0,0.0
52,3.0,0,0.3636363636363637,116.0,0.0,0.0,0.0,0.6205,0.6419,0.0,0.0,0.0,0.0,17.65,5.88,1.96,3.92,1.96,13.73,0.0,7.84,11.76,1.96,7.84,2.0,1.0,0.0
53,0.0,0,0.3666666666666665,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15,7.69,7.69,0.0,0.0,3.85,0.0,0.0,7.69,0.0,0.0,1.0,1.0,0.0
54,0.0,0,0.35135135135135137,83.0,0.0,0.0,0.0,0.0,0.0,0.5017595238095238,0.0,0.0,0.0,31.43,5.71,0.0,2.86,0.0,14.29,0.0,5.71,8.57,0.0,0.0,1.0,2.0,0.0
55,0.0,0,0.3684210526315789,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22,11.11,0.0,0.0,0.0,22.22,0.0,0.0,5.56,0.0,5.56,1.0,0.0,0.0
56,0.0,0,0.4615384615384616,5.0,0.4508,0.0,0.0,0.0,0.0,0.0,0.0,0.4508,0.0,18.18,9.09,0.0,0.0,9.09,9.09,0.0,0.0,9.09,9.09,9.09,0.0,0.0,0.0
57,0.0,0,0.35294117647058826,26.0,0.4508,0.0,0.0,0.0,0.4508,0.45345,0.0,0.4508,0.0,26.67,20.0,0.0,0.0,6.67,0.0,0.0,0.0,13.33,0.0,0.0,0.0,1.0,0.0
58,0.0,0,0.42105263157894735,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1152,0.0,23.53,5.88,0.0,0.0,0.0,17.65,0.0,5.88,11.76,5.88,0.0,0.0,1.0,0.0
59,2.0,0,0.3580246913580247,328.0,0.4508,0.0,0.0,0.55785,0.0,0.0,0.0,0.4508,0.0,18.75,4.69,4.69,1.56,4.69,14.06,0.0,1.56,6.25,10.94,3.12,4.0,1.0,0.0
60,1.0,0,0.4545454545454545,16.0,0.0,0.0,0.0,0.0,0.0,0.5775,0.0,0.0,0.0,20.69,3.45,3.45,3.45,0.0,6.9,0.0,0.0,6.9,3.45,6.9,1.0,1.0,0.0
61,1.0,0,0.3548387096774194,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,7.69,0.0,3.85,7.69,7.69,3.85,3.85,15.38,0.0,3.85,0.0,2.0,0.0
62,0.0,0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0,0.36,41.0,0.4508,0.0,0.0,0.0,0.0,0.0,0.0,0.4508,0.0,17.39,0.0,4.35,0.0,0.0,17.39,0.0,8.7,21.74,8.7,13.04,1.0,2.0,0.0
64,0.0,0,0.28,32.0,0.5166,0.0,0.0,0.0,0.0,0.0,0.0,0.5166,0.0,43.48,0.0,0.0,0.0,0.0,0.0,0.0,13.04,4.35,4.35,4.35,1.0,2.0,0.0
65,0.0,0,0.35714285714285715,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46,7.69,0.0,0.0,0.0,23.08,0.0,0.0,0.0,0.0,15.38,0.0,1.0,0.0
66,7.0,3,0.3207547169811321,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.26,6.98,0.0,0.0,0.0,12.79,5.81,6.98,5.81,3.49,1.16,5.0,6.0,0.0
67,3.0,0,0.34831460674157305,459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.67,4.0,1.33,5.33,0.0,13.33,1.33,1.33,10.67,6.67,5.33,3.0,2.0,0.0
68,3.0,0,0.425531914893617,82.0,0.0,0.0,0.0,0.0,0.0,0.5422166666666667,0.0,0.0,0.0,20.0,5.0,0.0,5.0,2.5,5.0,5.0,5.0,12.5,2.5,2.5,0.0,1.0,0.0
69,6.0,0,0.4097222222222222,1104.0,0.8634,0.0,0.0,0.5589,0.0,0.0,0.0,0.787275,0.4508,18.25,8.73,0.0,3.17,1.59,7.14,1.59,1.59,4.76,7.94,4.76,0.0,1.0,0.0
70,1.0,0,0.3114754098360656,183.0,0.0,0.0,0.0,0.0,0.0,0.4836,0.0,0.0,0.0,29.41,5.88,0.0,3.92,3.92,15.69,0.0,0.0,3.92,1.96,5.88,2.0,2.0,0.0
71,7.0,2,0.362962962962963,779.0,0.0,0.0,0.0,0.0,0.4462,0.4903027777777778,0.0,0.0,0.0,27.05,6.56,1.64,2.46,1.64,12.3,2.46,3.28,9.02,5.74,7.38,4.0,1.0,1.0
72,4.0,1,0.36585365853658536,341.0,0.0,0.0,0.0,0.0,0.0,0.5642625,0.0,0.0,0.0,36.11,8.33,0.0,0.0,0.0,4.17,1.39,0.0,1.39,6.94,2.78,0.0,1.0,1.0
73,0.0,0,0.3191489361702128,149.0,0.4657,0.0,0.0,0.556,0.0,0.56205,0.0,0.4918875,0.4508,27.66,4.26,0.0,2.13,0.0,6.38,2.13,4.26,10.64,0.0,2.13,1.0,1.0,0.0
74,0.0,0,0.5,8.0,0.4508,0.0,0.0,0.0,0.0,0.0,0.0,0.4508,0.0,21.43,7.14,0.0,0.0,0.0,7.14,0.0,0.0,14.29,0.0,7.14,0.0,0.0,0.0
75,6.0,3,0.4684684684684685,550.0,0.0,0.0,0.0,0.4508,0.6615,0.0,0.0,0.0,0.0,20.59,3.92,0.98,0.0,0.0,13.73,0.0,0.98,9.8,1.96,9.8,1.0,0.0,0.0
76,8.0,0,0.4593023255813953,1351.0,0.5384,0.0,0.0,0.0,0.0,0.0,0.0,0.5384,0.0,19.23,5.77,0.64,0.64,0.0,8.97,1.92,3.85,5.13,7.05,2.56,2.0,0.0,1.0
77,3.0,0,0.30952380952380953,101.0,0.5036,0.0,0.0,0.0,0.0,0.0,0.0,0.48155,0.0,20.0,5.0,0.0,5.0,0.0,7.5,0.0,5.0,7.5,0.0,7.5,2.0,2.0,0.0
78,4.0,0,0.3673469387755102,105.0,0.0,0.0,0.0,0.5461,0.0,0.0,0.0,0.0,0.4508,31.82,6.82,2.27,0.0,0.0,6.82,2.27,0.0,6.82,2.27,2.27,0.0,0.0,0.0
79,0.0,0,0.5,36.0,0.5143,0.0,0.0,0.5071,0.4508,0.4967666666666667,0.0,0.5119,0.4508,20.83,8.33,0.0,0.0,4.17,4.17,0.0,0.0,0.0,12.5,4.17,0.0,0.0,0.0
80,0.0,0,0.3809523809523809,23.0,0.4508,0.0,0.0,0.0,0.0,0.4508,0.0,0.4508,0.0,22.22,5.56,0.0,0.0,5.56,0.0,0.0,0.0,11.11,5.56,0.0,1.0,0.0,0.0
81,5.0,0,0.35211267605633795,361.0,0.61585,0.0,0.0,0.89,0.0,0.0,0.0,0.533325,0.0,23.08,2.56,0.0,1.28,0.0,5.13,1.28,6.41,2.56,1.28,2.56,2.0,0.0,1.0
82,3.0,0,0.3229166666666667,507.0,0.0,0.0,0.0,0.0,0.4379,0.4593333333333334,0.0,0.0,0.0,27.06,2.35,2.35,2.35,0.0,4.71,1.18,0.0,2.35,2.35,7.06,5.0,2.0,1.0
83,1.0,0,0.4406779661016949,161.0,0.5325,0.0,0.4406,0.4406,0.0,0.0,0.0,0.5325,0.0,18.52,3.7,0.0,0.0,0.0,7.41,0.0,5.56,3.7,3.7,0.0,0.0,0.0,0.0
84,0.0,0,0.21428571428571427,12.0,0.4508,0.0,0.0,0.0,0.0,0.0,0.0,0.4508,0.0,25.0,8.33,0.0,0.0,8.33,16.67,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
85,0.0,0,0.42424242424242425,175.0,0.5054,0.0,0.0,0.0,0.4508,0.0,0.0,0.4963,0.4508,19.7,3.03,0.0,0.0,1.52,3.03,1.52,4.55,3.03,6.06,0.0,0.0,1.0,1.0
86,1.0,0,0.48,30.0,0.5025,0.0,0.0,0.0,0.0,0.0,0.0,0.5025,0.0,13.04,4.35,0.0,0.0,4.35,17.39,4.35,0.0,8.7,4.35,4.35,1.0,0.0,0.0
87,6.0,0,0.4125874125874126,759.0,0.0,0.0,0.0,0.0,0.0,0.45025,0.0,0.0,0.0,18.4,7.2,0.8,0.8,2.4,13.6,0.8,2.4,6.4,5.6,4.8,3.0,2.0,1.0
88,1.0,0,0.3076923076923077,161.0,0.4508,0.0,0.0,0.0,0.0,0.0,0.0,0.4508,0.0,19.05,2.38,2.38,0.0,0.0,16.67,0.0,4.76,9.52,0.0,4.76,3.0,1.0,0.0
89,7.0,1,0.33783783783783783,1211.0,0.0,0.0,0.0,0.4878,0.0,0.4508,0.0,0.0,0.0,25.0,6.45,0.81,0.81,0.0,5.65,0.81,1.61,4.84,6.45,3.23,4.0,4.0,1.0
90,0.0,0,0.4705882352941176,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.12,0.0,3.12,0.0,0.0,15.62,0.0,6.25,12.5,0.0,0.0,1.0,1.0,0.0
91,1.0,0,0.40425531914893614,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,3.57,0.0,7.14,0.0,1.79,5.36,3.57,5.36,2.0,0.0,0.0
92,7.0,0,0.3606557377049181,536.0,0.5532,0.0,0.0,0.55015,0.0,0.0,0.0,0.53579,0.4508,21.0,5.0,0.0,0.0,0.0,4.0,0.0,6.0,6.0,4.0,3.0,2.0,1.0,2.0
93,2.0,0,0.3269230769230769,124.0,0.4508,0.0,0.0,0.0,0.0,0.0,0.0,0.4508,0.0,26.67,4.44,2.22,0.0,0.0,6.67,0.0,8.89,6.67,0.0,4.44,2.0,2.0,0.0
94,8.0,1,0.3391304347826087,591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.58,4.4,0.0,1.1,0.0,23.08,1.1,5.49,7.69,6.59,0.0,3.0,2.0,1.0
95,11.0,0,0.4189944134078212,1286.0,0.0,0.0,0.0,0.4595,0.0,0.0,0.0,0.0,0.0,21.57,5.88,1.31,0.65,2.61,10.46,2.61,3.27,5.88,9.15,1.96,2.0,1.0,1.0
96,9.0,2,0.4423076923076923,731.0,0.0,0.0,0.0,0.0,0.5200666666666667,0.0,0.0,0.0,0.0,18.31,4.93,0.0,0.7,0.7,14.79,0.7,1.41,6.34,6.34,2.11,5.0,1.0,0.0
97,1.0,0,0.26,169.0,0.16172999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.16604805555555555,0.1006,23.53,1.96,0.0,1.96,0.0,0.0,1.96,5.88,7.84,1.96,1.96,2.0,2.0,0.0
98,2.0,0,0.4090909090909091,279.0,0.6890333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.7888666666666667,0.4508,24.05,3.8,0.0,2.53,0.0,5.06,0.0,6.33,6.33,2.53,3.8,2.0,2.0,1.0
99,0.0,0,0.4074074074074074,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.83,4.17,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
100,0.0,0,0.3703703703703704,17.0,0.4508,0.0,0.0,0.0,0.0,0.0,0.0,0.4508,0.4508,21.74,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,4.35,4.35,1.0,0.0,0.0
101,4.0,0,0.3230769230769231,271.0,0.4872,0.0,0.0,0.4508,0.0,0.4934,0.0,0.4781,0.4508,27.42,4.84,0.0,3.23,3.23,11.29,0.0,3.23,3.23,1.61,3.23,2.0,1.0,1.0
102,5.0,1,0.3428571428571429,38.0,0.4508,0.0,0.0,0.0,0.0,0.0,0.0,0.4508,0.0,21.62,0.0,0.0,8.11,0.0,5.41,0.0,8.11,2.7,8.11,0.0,2.0,0.0,0.0
103,7.0,1,0.4244604316546763,920.0,0.0,0.0,0.0,0.0,0.0,0.4366,0.0,0.0,0.0,20.33,7.32,0.81,2.44,0.81,8.94,0.81,3.25,4.88,11.38,4.07,4.0,0.0,1.0
104,1.0,0,0.25,31.0,0.0,0.0,0.0,0.516,0.0,0.0,0.0,0.516,0.4628,31.58,5.26,0.0,5.26,0.0,5.26,0.0,5.26,5.26,5.26,0.0,3.0,0.0,0.0
105,0.0,0,0.36538461538461536,106.0,0.0,0.0,0.0,0.52432,0.0,0.0,0.0,0.53935,0.4508,31.11,0.0,2.22,0.0,0.0,8.89,0.0,4.44,0.0,15.56,2.22,1.0,1.0,0.0
106,1.0,0,0.3333333333333333,192.0,0.0,0.0,0.0,0.488,0.0,0.0,0.0,0.488,0.4508,39.58,4.17,0.0,0.0,0.0,10.42,0.0,6.25,4.17,8.33,2.08,1.0,1.0,0.0
